0,1,2
bang,mine,<\s>
<s>,bang,<\s>
<s>,minny,<\s>
<s>,din_din,<\s>
<s>,din_din,<\s>
<s>,minny,<\s>
<s>,din,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,oh,bang
oh,bang,<\s>
<s>,tractor,<\s>
<s>,um,<\s>
<s>,daddy,<\s>
<s>,tractor,daddy
tractor,daddy,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,man,<\s>
<s>,man,<\s>
<s>,driver,<\s>
<s>,man,<\s>
<s>,brumm,<\s>
<s>,drive,<\s>
<s>,there,<\s>
<s>,green,<\s>
<s>,one,<\s>
<s>,green,one
green,one,<\s>
<s>,green,<\s>
<s>,knife,<\s>
<s>,big,bang
big,bang,bang
bang,bang,<\s>
<s>,there,bang
there,bang,bang
bang,bang,<\s>
<s>,there,bang
there,bang,bang
bang,bang,<\s>
<s>,big,bang
big,bang,bang
bang,bang,<\s>
<s>,there's,bang
there's,bang,bang
bang,bang,<\s>
<s>,it,it
it,it,train
it,train,<\s>
<s>,choo,<\s>
<s>,blue,<\s>
<s>,sand,<\s>
<s>,choo,<\s>
<s>,crying,<\s>
<s>,dodo,<\s>
<s>,driver,<\s>
<s>,a,<\s>
<s>,eye,<\s>
<s>,nose,<\s>
<s>,lips,<\s>
<s>,lips,<\s>
<s>,crying,<\s>
<s>,poster,<\s>
<s>,poster,<\s>
<s>,driver,<\s>
<s>,tractor,<\s>
<s>,wheel,<\s>
<s>,train,<\s>
<s>,daddy,<\s>
<s>,er,<\s>
<s>,crying,<\s>
<s>,driver,<\s>
<s>,driver,<\s>
<s>,driver,<\s>
<s>,bus,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,tractor,<\s>
<s>,tractor,<\s>
<s>,boy,<\s>
<s>,tractor,<\s>
<s>,tractor,<\s>
<s>,bus,<\s>
<s>,stone,<\s>
<s>,hat,<\s>
<s>,boot,<\s>
<s>,boot,<\s>
<s>,coat,<\s>
<s>,coat,<\s>
<s>,shirt,<\s>
<s>,tie,<\s>
<s>,there,boy
there,boy,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,clean,<\s>
<s>,there,boy
there,boy,<\s>
<s>,coming,<\s>
<s>,oh,bang
oh,bang,<\s>
<s>,on,there
on,there,<\s>
<s>,bang,<\s>
<s>,driver,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,keep,bang
keep,bang,bang
bang,bang,<\s>
<s>,there,<\s>
<s>,cut,<\s>
<s>,no,not
no,not,<\s>
<s>,no,<\s>
<s>,like,bang
like,bang,<\s>
<s>,there,<\s>
<s>,oh,down
oh,down,<\s>
<s>,hat,<\s>
<s>,hat,<\s>
<s>,lady,<\s>
<s>,car,<\s>
<s>,car,<\s>
<s>,cat,<\s>
<s>,cat,<\s>
<s>,daddy,<\s>
<s>,boot,<\s>
<s>,hair,<\s>
<s>,mummy,hair
mummy,hair,<\s>
<s>,hair,<\s>
<s>,bow,<\s>
<s>,cars,<\s>
<s>,bricks,<\s>
<s>,bricks,<\s>
<s>,dolly,<\s>
<s>,bricks,<\s>
<s>,elephant,<\s>
<s>,drink,<\s>
<s>,hair,<\s>
<s>,eye,<\s>
<s>,some,more
some,more,<\s>
<s>,green,<\s>
<s>,hat,<\s>
<s>,on,<\s>
<s>,i,want
i,want,hat
want,hat,<\s>
<s>,here,<\s>
<s>,all,that
all,that,<\s>
<s>,oh,green
oh,green,<\s>
<s>,hat,<\s>
<s>,hat,<\s>
<s>,eye,<\s>
<s>,doll,<\s>
<s>,hat,<\s>
<s>,hat,<\s>
<s>,pink,<\s>
<s>,green,<\s>
<s>,get,toys
get,toys,<\s>
<s>,dustbin,<\s>
<s>,cheese,<\s>
<s>,cheese,<\s>
<s>,chip,<\s>
<s>,hot,<\s>
<s>,lady,<\s>
<s>,hot,chip
hot,chip,<\s>
<s>,cat,<\s>
<s>,cat,<\s>
<s>,hello,<\s>
<s>,ball,<\s>
<s>,knife,<\s>
<s>,pen,<\s>
<s>,knife,<\s>
<s>,men,<\s>
<s>,hair,<\s>
<s>,hair,<\s>
<s>,a,<\s>
<s>,no,<\s>
<s>,want,<\s>
<s>,play,<\s>
<s>,lady,<\s>
<s>,coat,<\s>
<s>,look,<\s>
<s>,look,<\s>
<s>,look,hoop
look,hoop,<\s>
<s>,hats,<\s>
<s>,my,<\s>
<s>,play,<\s>
<s>,strawberry,<\s>
<s>,eat,<\s>
<s>,book,<\s>
<s>,book,<\s>
<s>,book,<\s>
<s>,book,<\s>
<s>,on,there
on,there,tractor
there,tractor,<\s>
<s>,tractor,<\s>
<s>,that,<\s>
<s>,tractor,<\s>
<s>,want,on
want,on,there
on,there,<\s>
<s>,mum,<\s>
<s>,drink,<\s>
<s>,cup,<\s>
<s>,a,<\s>
<s>,pie,<\s>
<s>,pie,<\s>
<s>,a,<\s>
<s>,ice,<\s>
<s>,bite,it
bite,it,<\s>
<s>,i,bite
i,bite,it
bite,it,<\s>
<s>,bite,<\s>
<s>,eat,boy
eat,boy,<\s>
<s>,toast,<\s>
<s>,cut,knife
cut,knife,<\s>
<s>,crying,<\s>
<s>,mhm,<\s>
<s>,teeth,<\s>
<s>,teeth,<\s>
<s>,no,<\s>
<s>,eye,<\s>
<s>,eye,<\s>
<s>,hair,<\s>
<s>,hair,<\s>
<s>,hand,<\s>
<s>,hand,<\s>
<s>,cheek,<\s>
<s>,there,hair
there,hair,<\s>
<s>,that,<\s>
<s>,there,<\s>
<s>,that,cheek
that,cheek,<\s>
<s>,gone,<\s>
<s>,cushion,<\s>
<s>,bricks,<\s>
<s>,lady,<\s>
<s>,lady,<\s>
<s>,lady,<\s>
<s>,it,hole
it,hole,<\s>
<s>,car,<\s>
<s>,share,<\s>
<s>,where,mary
where,mary,<\s>
<s>,that,bricks
that,bricks,<\s>
<s>,floor,<\s>
<s>,there,<\s>
<s>,on,there
on,there,<\s>
<s>,a,<\s>
<s>,lady,<\s>
<s>,brush,brush
brush,brush,<\s>
<s>,mine,<\s>
<s>,noise,<\s>
<s>,put,daddy
put,daddy,<\s>
<s>,daddy,<\s>
<s>,mine,<\s>
<s>,drink,hot
drink,hot,<\s>
<s>,cold,<\s>
<s>,drop,<\s>
<s>,sticks,<\s>
<s>,sticks,<\s>
<s>,stick,<\s>
<s>,yeah,<\s>
<s>,oh,<\s>
<s>,noise,<\s>
<s>,book,floor
book,floor,<\s>
<s>,book,<\s>
<s>,giraffe,<\s>
<s>,that,<\s>
<s>,penguin,<\s>
<s>,that,<\s>
<s>,that,<\s>
<s>,no,<\s>
<s>,put,on
put,on,<\s>
<s>,gone,<\s>
<s>,want,more
want,more,<\s>
<s>,green,<\s>
<s>,red,<\s>
<s>,pink,red
pink,red,<\s>
<s>,stack,<\s>
<s>,lady,<\s>
<s>,green,go
green,go,<\s>
<s>,no,<\s>
<s>,on,there
on,there,<\s>
<s>,that,<\s>
<s>,no,<\s>
<s>,stuck,<\s>
<s>,stuck,<\s>
<s>,it,stuck
it,stuck,<\s>
<s>,stuck,<\s>
<s>,look,<\s>
<s>,look,<\s>
<s>,that,<\s>
<s>,xxx,<\s>
<s>,there,<\s>
<s>,tractor,<\s>
<s>,tractor,<\s>
<s>,that,<\s>
<s>,no,<\s>
<s>,gone,<\s>
<s>,get,<\s>
<s>,line,<\s>
<s>,get,<\s>
<s>,the,penny
the,penny,<\s>
<s>,the,penny
the,penny,<\s>
<s>,the,penny
the,penny,<\s>
<s>,here,<\s>
<s>,penny,<\s>
<s>,pocket,<\s>
<s>,all,<\s>
<s>,all,on
all,on,cake
on,cake,<\s>
<s>,all,on
all,on,cake
on,cake,<\s>
<s>,get,cake
get,cake,<\s>
<s>,mummy,<\s>
<s>,find,<\s>
<s>,mine,<\s>
<s>,six,<\s>
<s>,pound,<\s>
<s>,six,<\s>
<s>,grass,<\s>
<s>,draw,<\s>
<s>,write,<\s>
<s>,book,<\s>
<s>,pen,<\s>
<s>,pen,draw
pen,draw,<\s>
<s>,the,pen
the,pen,<\s>
<s>,bricks,<\s>
<s>,brick,<\s>
<s>,ah,ah
ah,ah,ah
ah,ah,<\s>
<s>,look,<\s>
<s>,i,got
i,got,hat
got,hat,<\s>
<s>,it,gone
it,gone,carpet
gone,carpet,<\s>
<s>,it,gone
it,gone,<\s>
<s>,i,got
i,got,<\s>
<s>,money,<\s>
<s>,cake,<\s>
<s>,penny,<\s>
<s>,gone,<\s>
<s>,ah,ah
ah,ah,ah
ah,ah,<\s>
<s>,please,<\s>
<s>,there,cake
there,cake,<\s>
<s>,cake,<\s>
<s>,cake,<\s>
<s>,cake,drop
cake,drop,<\s>
<s>,penny,<\s>
<s>,pretend,<\s>
<s>,yeah,<\s>
<s>,that,<\s>
<s>,peach,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,money,<\s>
<s>,there,<\s>
<s>,a,<\s>
<s>,no,<\s>
<s>,car,noise
car,noise,<\s>
<s>,car,noise
car,noise,<\s>
<s>,brumm,<\s>
<s>,man,<\s>
<s>,boy,<\s>
<s>,mummy,<\s>
<s>,a,van
a,van,<\s>
<s>,van,<\s>
<s>,big,truck
big,truck,<\s>
<s>,big,truck
big,truck,<\s>
<s>,rat,book
rat,book,<\s>
<s>,book,<\s>
<s>,book,<\s>
<s>,nut,<\s>
<s>,bee,<\s>
<s>,bee,<\s>
<s>,duck,<\s>
<s>,duck,<\s>
<s>,dog,<\s>
<s>,cat,<\s>
<s>,cat,<\s>
<s>,that,<\s>
<s>,bird,<\s>
<s>,neigh,<\s>
<s>,eat,grass
eat,grass,<\s>
<s>,eat,grass
eat,grass,<\s>
<s>,truck,<\s>
<s>,truck,<\s>
<s>,horse,<\s>
<s>,i,want
i,want,rat
want,rat,<\s>
<s>,rat,book
rat,book,<\s>
<s>,rat,book
rat,book,<\s>
<s>,mice,<\s>
<s>,this,<\s>
<s>,dead,fly
dead,fly,<\s>
<s>,dead,fly
dead,fly,<\s>
<s>,gone,<\s>
<s>,gone,<\s>
<s>,gone,<\s>
<s>,it,red
it,red,<\s>
<s>,red,<\s>
<s>,red,<\s>
<s>,red,<\s>
<s>,red,<\s>
<s>,yellow,<\s>
<s>,train,red
train,red,<\s>
<s>,train,red
train,red,<\s>
<s>,this,<\s>
<s>,the,xxx
the,xxx,<\s>
<s>,climb,it
climb,it,<\s>
<s>,push,<\s>
<s>,daddy,truck
daddy,truck,<\s>
<s>,daddy,truck
daddy,truck,<\s>
<s>,daddy,truck
daddy,truck,<\s>
<s>,all_gone,<\s>
<s>,climb,<\s>
<s>,tractor,<\s>
<s>,tractor,<\s>
<s>,daddy,tractor
daddy,tractor,<\s>
<s>,down,<\s>
<s>,climb,<\s>
<s>,train,<\s>
<s>,no,<\s>
<s>,not,<\s>
<s>,kick,<\s>
<s>,i,kick
i,kick,<\s>
<s>,climb,<\s>
<s>,man,<\s>
<s>,man,<\s>
<s>,sleep,<\s>
<s>,sleep,<\s>
<s>,gone,<\s>
<s>,man,gone
man,gone,<\s>
<s>,xxx,<\s>
<s>,gone,<\s>
<s>,this,boat
this,boat,<\s>
<s>,dust,gone
dust,gone,<\s>
<s>,man,<\s>
<s>,kick,<\s>
<s>,go,go
go,go,go
go,go,go
go,go,go
go,go,<\s>
<s>,dust,<\s>
<s>,no,<\s>
<s>,man,here
man,here,<\s>
<s>,the,man
the,man,here
man,here,<\s>
<s>,xxx,<\s>
<s>,sacks,<\s>
<s>,throw,<\s>
<s>,train,<\s>
<s>,truck,<\s>
<s>,truck,<\s>
<s>,train,<\s>
<s>,train,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,train,<\s>
<s>,train,<\s>
<s>,choo,<\s>
<s>,bus,stop
bus,stop,<\s>
<s>,penny,<\s>
<s>,got,none
got,none,<\s>
<s>,bus,stop
bus,stop,<\s>
<s>,the,train
the,train,<\s>
<s>,pay,<\s>
<s>,man,<\s>
<s>,want,bus
want,bus,man
bus,man,<\s>
<s>,want,man
want,man,<\s>
<s>,door,<\s>
<s>,kick,<\s>
<s>,got,up
got,up,<\s>
<s>,hot,<\s>
<s>,hot,<\s>
<s>,hair,hot
hair,hot,<\s>
<s>,this,<\s>
<s>,teddy,bump
teddy,bump,<\s>
<s>,xxx,boat
xxx,boat,<\s>
<s>,xxx,<\s>
<s>,broken,<\s>
<s>,tractor,<\s>
<s>,boy,<\s>
<s>,greenie,<\s>
<s>,toby,<\s>
<s>,me,going
me,going,there
going,there,<\s>
<s>,car,<\s>
<s>,house,<\s>
<s>,truck,daddy
truck,daddy,<\s>
<s>,boat,<\s>
<s>,not,up
not,up,there
up,there,<\s>
<s>,shirt,wet
shirt,wet,<\s>
<s>,stone,<\s>
<s>,get,the
get,the,boat
the,boat,<\s>
<s>,boat,<\s>
<s>,boat,<\s>
<s>,door,<\s>
<s>,door,<\s>
<s>,wee_wee,boat
wee_wee,boat,<\s>
<s>,knick,<\s>
<s>,knick,<\s>
<s>,not,door
not,door,<\s>
<s>,train,<\s>
<s>,train,<\s>
<s>,man,<\s>
<s>,man,<\s>
<s>,wave,<\s>
<s>,wave,<\s>
<s>,the,wave
the,wave,<\s>
<s>,wave,<\s>
<s>,daddy,<\s>
<s>,get,up
get,up,<\s>
<s>,get,up
get,up,<\s>
<s>,get,up
get,up,down
up,down,<\s>
<s>,can't,no
can't,no,<\s>
<s>,that,down
that,down,<\s>
<s>,want,here
want,here,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,want,this
want,this,<\s>
<s>,i,want
i,want,that
want,that,<\s>
<s>,a,train
a,train,<\s>
<s>,choo_choo,<\s>
<s>,whoo,<\s>
<s>,whoo,<\s>
<s>,choo_choo,<\s>
<s>,smoke,stack
smoke,stack,<\s>
<s>,smoke,stack
smoke,stack,<\s>
<s>,grass,<\s>
<s>,tower,<\s>
<s>,coal,back
coal,back,<\s>
<s>,coal,<\s>
<s>,coal,<\s>
<s>,book,<\s>
<s>,yes,<\s>
<s>,ticket,<\s>
<s>,ticket,<\s>
<s>,man,<\s>
<s>,book,<\s>
<s>,book,<\s>
<s>,i,need
i,need,book
need,book,<\s>
<s>,book,<\s>
<s>,book,<\s>
<s>,worzel,<\s>
<s>,worzel,<\s>
<s>,where,<\s>
<s>,where,<\s>
<s>,right,<\s>
<s>,book,<\s>
<s>,book,<\s>
<s>,teddy,book
teddy,book,<\s>
<s>,right,<\s>
<s>,right,<\s>
<s>,whoo,<\s>
<s>,that,train
that,train,choo
train,choo,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,stuck,<\s>
<s>,brumm,<\s>
<s>,knock_knock,<\s>
<s>,brumm,<\s>
<s>,noise,<\s>
<s>,noise,<\s>
<s>,noise,<\s>
<s>,noise,<\s>
<s>,mummy,<\s>
<s>,brumm,<\s>
<s>,crash,<\s>
<s>,bump,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,mummy,in
mummy,in,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,daddy,<\s>
<s>,mary,<\s>
<s>,monster,<\s>
<s>,monster,<\s>
<s>,book,<\s>
<s>,that,<\s>
<s>,wet,<\s>
<s>,brumm,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,mummy,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,clean,<\s>
<s>,clean,<\s>
<s>,have,you
have,you,polished
you,polished,it
polished,it,all
it,all,<\s>
<s>,dust,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,it,grass
it,grass,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,broke,<\s>
<s>,man,<\s>
<s>,man,<\s>
<s>,daddy,drive
daddy,drive,tractor
drive,tractor,<\s>
<s>,grass,<\s>
<s>,it,the
it,the,grass
the,grass,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,that,grass
that,grass,<\s>
<s>,grass,<\s>
<s>,it,the
it,the,grass
the,grass,boat
grass,boat,<\s>
<s>,it,the
it,the,grass
the,grass,<\s>
<s>,boat,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,no,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,it,grass
it,grass,<\s>
<s>,grass,<\s>
<s>,grass,<\s>
<s>,it,grass
it,grass,<\s>
<s>,coat,<\s>
<s>,toes,<\s>
<s>,i,pull
i,pull,<\s>
<s>,crying,<\s>
<s>,boat,<\s>
<s>,boat,<\s>
<s>,boat,<\s>
<s>,it,rocks
it,rocks,<\s>
<s>,go,go
go,go,<\s>
<s>,noise,<\s>
<s>,boat,<\s>
<s>,boat,<\s>
<s>,right,<\s>
<s>,rock,<\s>
<s>,rock,<\s>
<s>,bricks,<\s>
<s>,oh,there's
oh,there's,<\s>
<s>,there,fence
there,fence,<\s>
<s>,fence,<\s>
<s>,fence,<\s>
<s>,fence,<\s>
<s>,boat,<\s>
<s>,right,<\s>
<s>,rock,<\s>
<s>,ow,<\s>
<s>,bang,my
bang,my,<\s>
<s>,out,there
out,there,<\s>
<s>,ball,<\s>
<s>,mummy,<\s>
<s>,door,<\s>
<s>,right,<\s>
<s>,the,boat
the,boat,dolly
boat,dolly,<\s>
<s>,boat,<\s>
<s>,eye,<\s>
<s>,button,<\s>
<s>,hair,<\s>
<s>,cut,<\s>
<s>,lady,cut
lady,cut,hair
cut,hair,<\s>
<s>,there,toes
there,toes,<\s>
<s>,shirt,<\s>
<s>,hands,<\s>
<s>,toe,<\s>
<s>,there,<\s>
<s>,yes,<\s>
<s>,boat,<\s>
<s>,sock,<\s>
<s>,sock,toe
sock,toe,<\s>
<s>,mummy,<\s>
<s>,boat,<\s>
<s>,got,one
got,one,shoe
one,shoe,<\s>
<s>,no,<\s>
<s>,clean,<\s>
<s>,clean,<\s>
<s>,clean,<\s>
<s>,oh,me
oh,me,<\s>
<s>,boy,<\s>
<s>,mummy,<\s>
<s>,book,<\s>
<s>,what,is
what,is,it
is,it,<\s>
<s>,mummy,<\s>
<s>,i,want
i,want,mummy
want,mummy,<\s>
<s>,sit,sit
sit,sit,<\s>
<s>,sit,there
sit,there,<\s>
<s>,lady,<\s>
<s>,doll,sit
doll,sit,no
sit,no,<\s>
<s>,no,<\s>
<s>,ted,<\s>
<s>,ted,<\s>
<s>,the,ted
the,ted,<\s>
<s>,ted,<\s>
<s>,ted,<\s>
<s>,no,<\s>
<s>,not,<\s>
<s>,ted,<\s>
<s>,boat,<\s>
<s>,boat,<\s>
<s>,right,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,park,<\s>
<s>,percy,<\s>
<s>,want,park
want,park,<\s>
<s>,park,<\s>
<s>,crying,<\s>
<s>,baby,crying
baby,crying,<\s>
<s>,bed,<\s>
<s>,want,percy
want,percy,park
percy,park,baby
park,baby,<\s>
<s>,no,<\s>
<s>,book,<\s>
<s>,want,book
want,book,<\s>
<s>,the,keeper
the,keeper,<\s>
<s>,percy,<\s>
<s>,get,out
get,out,<\s>
<s>,get,percy
get,percy,<\s>
<s>,lady,<\s>
<s>,lady,there
lady,there,<\s>
<s>,daddy,<\s>
<s>,read,<\s>
<s>,bang,wall
bang,wall,<\s>
<s>,bang,wall
bang,wall,<\s>
<s>,string,<\s>
<s>,park,<\s>
<s>,cut,<\s>
<s>,clip,clip
clip,clip,clip
clip,clip,<\s>
<s>,xxx,<\s>
<s>,hen,<\s>
<s>,tree,<\s>
<s>,tree,<\s>
<s>,sleep,<\s>
<s>,bear,<\s>
<s>,girl,<\s>
<s>,swing,<\s>
<s>,fish,<\s>
<s>,boy,<\s>
<s>,crying,there
crying,there,<\s>
<s>,climbing,<\s>
<s>,climb,<\s>
<s>,plate,<\s>
<s>,bowl,<\s>
<s>,din_din,<\s>
<s>,spoon,<\s>
<s>,there,<\s>
<s>,girl,<\s>
<s>,broke,<\s>
<s>,bear,<\s>
<s>,mummy,<\s>
<s>,mummy,read
mummy,read,<\s>
<s>,got,three
got,three,bear
three,bear,<\s>
<s>,mummy,<\s>
<s>,daddy,<\s>
<s>,mummy,<\s>
<s>,bear,<\s>
<s>,cry,<\s>
<s>,porridge,<\s>
<s>,chair,broke
chair,broke,<\s>
<s>,boat,<\s>
<s>,horse,<\s>
<s>,going,there
going,there,<\s>
<s>,going,there
going,there,<\s>
<s>,going,there
going,there,<\s>
<s>,me,play
me,play,<\s>
<s>,no,<\s>
<s>,ow,<\s>
<s>,i,fall
i,fall,<\s>
<s>,need,bang
need,bang,bang
bang,bang,<\s>
<s>,need,bang
need,bang,bang
bang,bang,<\s>
<s>,need,bang
need,bang,bang
bang,bang,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,get,bang
get,bang,<\s>
<s>,get,<\s>
<s>,i'm,gonna
i'm,gonna,going
gonna,going,to
going,to,get
to,get,bang
get,bang,bang
bang,bang,<\s>
<s>,hammer,<\s>
<s>,tick,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,sore,toe
sore,toe,<\s>
<s>,my,hammer
my,hammer,<\s>
<s>,toys,<\s>
<s>,toy,<\s>
<s>,toy,there
toy,there,<\s>
<s>,toy,there
toy,there,<\s>
<s>,drink,there
drink,there,<\s>
<s>,drink,there
drink,there,<\s>
<s>,drink,there
drink,there,<\s>
<s>,no,not
no,not,<\s>
<s>,no,not
no,not,<\s>
<s>,toy,<\s>
<s>,toy,there
toy,there,<\s>
<s>,toy,there
toy,there,<\s>
<s>,toy,there
toy,there,<\s>
<s>,toy,oh
toy,oh,toy
oh,toy,there
toy,there,<\s>
<s>,no,<\s>
<s>,toy,there
toy,there,<\s>
<s>,toy,there
toy,there,<\s>
<s>,toy,there
toy,there,<\s>
<s>,toy,there
toy,there,<\s>
<s>,i,need
i,need,it
need,it,<\s>
<s>,oh,<\s>
<s>,i,need
i,need,this
need,this,<\s>
<s>,no,<\s>
<s>,i,won't
i,won't,willn't
won't,willn't,no
willn't,no,<\s>
<s>,a,<\s>
<s>,mummy,<\s>
<s>,no,hammer
no,hammer,that
hammer,that,there
that,there,<\s>
<s>,my,<\s>
<s>,this,hoop
this,hoop,<\s>
<s>,here,<\s>
<s>,a,<\s>
<s>,blue,<\s>
<s>,hat,<\s>
<s>,bang,bang
bang,bang,<\s>
<s>,armband,<\s>
<s>,armband,there
armband,there,<\s>
<s>,monster,<\s>
<s>,eat,<\s>
<s>,eat,boys
eat,boys,<\s>
<s>,trying,<\s>
<s>,trying,<\s>
<s>,trying,<\s>
<s>,hole,<\s>
<s>,eat,<\s>
<s>,eat,<\s>
<s>,eat,boys
eat,boys,<\s>
<s>,wet,no
wet,no,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,dust,<\s>
<s>,knick,<\s>
<s>,look,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,it,a
it,a,xxx
a,xxx,<\s>
<s>,a,xxx
